Date,dt,Price,Open,High,Low,Vol.,Change %,,,,,,,,,,,,,,,,,
"Mar 04, 2019",04/03/2019,76.5,77.1,77.94,74.07,379.78K,-0.69%,,,04/03/2019,,77.94,,76.5,,,,,,,,,,
"Mar 05, 2019",05/03/2019,75.51,76.51,77.22,75.45,344.22K,-1.29%,,,05/03/2019,,77.22,,75.51,,,,,,,,,,
"Mar 06, 2019",06/03/2019,73.54,75.45,77.24,73.08,506.99K,-2.61%,,,06/03/2019,,77.24,,73.54,,,,,,,,,,
"Mar 07, 2019",07/03/2019,73.52,73.73,74.95,72.05,388.21K,-0.03%,,,07/03/2019,,74.95,,73.52,,,,,,,,,,
"Mar 08, 2019",08/03/2019,73.48,72.81,73.99,72.46,273.70K,-0.05%,,,08/03/2019,,73.99,,73.48,,,,,,,,,,
"Mar 11, 2019",11/03/2019,75.08,73.83,75.56,73.67,569.38K,2.18%,,,11/03/2019,,75.56,,75.08,,,,,,,,,,
"Mar 12, 2019",12/03/2019,74.88,75.53,76.05,74.49,431.90K,-0.27%,,,12/03/2019,,76.05,,74.88,,,,,,,,,,
"Mar 13, 2019",13/03/2019,76,75,76.5,74.59,832.13K,1.50%,,,13/03/2019,,76.5,,76,,,,,,,,,,
"Mar 14, 2019",14/03/2019,76.51,76.19,77.35,75.92,415.44K,0.67%,,,14/03/2019,,77.35,,76.51,,,,,,,,,,
"Mar 15, 2019",15/03/2019,74.5,76.5,77.14,74.36,1.27M,-2.63%,,,15/03/2019,,77.14,,74.5,,,,,,,,,,
"Mar 18, 2019",18/03/2019,74.23,74.3,75.36,73.5,634.17K,-0.36%,,,18/03/2019,,75.36,,74.23,,,,,,,,,,
"Mar 19, 2019",19/03/2019,74.57,74.71,75.49,73.68,637.93K,0.46%,,,19/03/2019,,75.49,,74.57,,,,,,,,,,
"Mar 20, 2019",20/03/2019,73.42,74.56,75.49,72.8,815.47K,-1.54%,,,20/03/2019,,75.49,,73.42,,,,,,,,,,
"Mar 21, 2019",21/03/2019,74.63,73.08,75.52,72.39,906.94K,1.65%,,,21/03/2019,,75.52,,74.63,,,,,,,,,,
"Mar 22, 2019",22/03/2019,69.37,74.1,74.4,69.28,495.75K,-7.05%,,,22/03/2019,,74.4,,69.37,,,,,,,,,,
"Mar 25, 2019",25/03/2019,70.68,69.33,70.97,68.35,847.49K,1.89%,,,25/03/2019,,70.97,,70.68,,,,,,,,,,
"Mar 26, 2019",26/03/2019,71.7,71.38,72.04,70.72,312.38K,1.44%,,,26/03/2019,,72.04,,71.7,,,,,,,,,,
"Mar 27, 2019",27/03/2019,69.74,71.6,71.6,67.57,792.42K,-2.73%,,,27/03/2019,,71.6,,69.74,,,,,,,,,,
"Mar 28, 2019",28/03/2019,69.11,70.2,70.2,67.39,399.02K,-0.90%,,,28/03/2019,,70.2,,69.11,,,,,,,,,,
"Mar 29, 2019",29/03/2019,70.05,69.77,70.83,68.36,719.41K,1.36%,,,29/03/2019,,70.83,,70.05,,,,,,,,,,
"Apr 01, 2019",01/04/2019,66.84,70.6,71.17,66.55,601.08K,-4.58%,,,01/04/2019,,71.17,,66.84,,,,,,,,,,
"Apr 02, 2019",02/04/2019,68.7,66.93,69.46,66.05,866.50K,2.78%,,,02/04/2019,,69.46,,68.7,,,,,,,,,,
"Apr 03, 2019",03/04/2019,68.88,69.46,70.23,68.06,805.68K,0.26%,,,03/04/2019,,70.23,,68.88,,,,,,,,,,
"Apr 04, 2019",04/04/2019,66.6,68.75,69.18,66.39,486.49K,-3.31%,,,04/04/2019,,69.18,,66.6,,,,,,,,,,
"Apr 05, 2019",05/04/2019,68.6,67.01,69.42,66.47,580.95K,3.00%,,,05/04/2019,,69.42,,68.6,,,,,,,,,,
"Apr 08, 2019",08/04/2019,67.88,68.26,69.3,66.36,392.05K,-1.05%,,,08/04/2019,,69.3,,67.88,,,,,,,,,,
"Apr 09, 2019",09/04/2019,67.08,67.51,68.23,66.83,457.49K,-1.18%,,,09/04/2019,,68.23,,67.08,,,,,,,,,,
"Apr 10, 2019",10/04/2019,68.6,67.21,69.57,67,530.65K,2.27%,,,10/04/2019,,69.57,,68.6,,,,,,,,,,
"Apr 11, 2019",11/04/2019,66.6,68.85,69.3,66.56,606.29K,-2.92%,,,11/04/2019,,69.3,,66.6,,,,,,,,,,
"Apr 12, 2019",12/04/2019,64.6,67.22,67.98,64.25,891.79K,-3.00%,,,12/04/2019,,67.98,,64.6,,,,,,,,,,
"Apr 15, 2019",15/04/2019,65.49,64.9,65.97,64.65,440.43K,1.38%,,,15/04/2019,,65.97,,65.49,,,,,,,,,,
"Apr 16, 2019",16/04/2019,65.2,66,66.43,64.69,327.52K,-0.44%,,,16/04/2019,,66.43,,65.2,,,,,,,,,,
"Apr 17, 2019",17/04/2019,61.39,65.16,65.67,60.95,630.59K,-5.84%,,,17/04/2019,,65.67,,61.39,,,,,,,,,,
"Apr 18, 2019",18/04/2019,61.93,61.53,62.57,60.71,401.55K,0.88%,,,18/04/2019,,62.57,,61.93,,,,,,,,,,
"Apr 22, 2019",22/04/2019,63.48,61.97,63.77,61.41,321.46K,2.50%,,,22/04/2019,,63.77,,63.48,,,,,,,,,,
"Apr 23, 2019",23/04/2019,65.93,63.77,66.29,62.7,607.59K,3.86%,,,23/04/2019,,66.29,,65.93,,,,,,,,,,
"Apr 24, 2019",24/04/2019,65.12,65.95,67.01,64.73,363.16K,-1.23%,,,24/04/2019,,67.01,,65.12,,,,,,,,,,
"Apr 25, 2019",25/04/2019,66.46,65.17,66.75,64.75,228.53K,2.06%,,,25/04/2019,,66.75,,66.46,,,,,,,,,,
"Apr 26, 2019",26/04/2019,66.2,66.37,67.1,65.64,608.44K,-0.39%,,,26/04/2019,,67.1,,66.2,,,,,,,,,,
"Apr 29, 2019",29/04/2019,66.42,66.42,67.21,65.45,289.89K,0.33%,,,29/04/2019,,67.21,,66.42,,,,,,,,,,
"Apr 30, 2019",30/04/2019,64.33,66.4,67.1,63.69,792.13K,-3.15%,,,30/04/2019,,67.1,,64.33,,,,,,,,,,
"May 01, 2019",01/05/2019,63.84,64.18,65.13,62.95,568.28K,-0.76%,,,01/05/2019,,65.13,,63.84,,,,,,,,,,
"May 02, 2019",02/05/2019,65.88,63.47,65.96,63.23,285.77K,3.20%,,,02/05/2019,,65.96,,65.88,,,,,,,,,,
"May 03, 2019",03/05/2019,67.55,66.4,67.8,65.3,322.34K,2.53%,,,03/05/2019,,67.8,,67.55,,,,,,,,,,
"May 06, 2019",06/05/2019,67.76,65.93,67.94,65.42,487.99K,0.31%,,,06/05/2019,,67.94,,67.76,,,,,,,,,,
"May 07, 2019",07/05/2019,65.46,66.64,67.49,64.72,346.62K,-3.39%,,,07/05/2019,,67.49,,65.46,,,,,,,,,,
"May 08, 2019",08/05/2019,57.88,61.74,62.18,56.4,1.77M,-11.58%,,,08/05/2019,,62.18,,57.88,,,,,,,,,,
"May 09, 2019",09/05/2019,59.03,56.93,59.46,56.5,553.10K,1.99%,,,09/05/2019,,59.46,,59.03,,,,,,,,,,
"May 10, 2019",10/05/2019,58.27,59,59.17,57.43,818.57K,-1.29%,,,10/05/2019,,59.17,,58.27,,,,,,,,,,
"May 13, 2019",13/05/2019,56.96,56.54,57.66,55.76,815.75K,-2.25%,,,13/05/2019,,57.66,,56.96,,,,,,,,,,
"May 14, 2019",14/05/2019,57.36,57.05,57.68,56.01,426.60K,0.70%,,,14/05/2019,,57.68,,57.36,,,,,,,,,,
"May 15, 2019",15/05/2019,56.45,56.93,57.72,55.88,325.85K,-1.59%,,,15/05/2019,,57.72,,56.45,,,,,,,,,,
"May 16, 2019",16/05/2019,56.32,56.17,57.74,56.17,286.34K,-0.23%,,,16/05/2019,,57.74,,56.32,,,,,,,,,,
"May 17, 2019",17/05/2019,54.18,55.84,56.22,54.07,289.33K,-3.80%,,,17/05/2019,,56.22,,54.18,,,,,,,,,,
"May 20, 2019",20/05/2019,54.62,53.98,55.95,53.02,413.44K,0.81%,,,20/05/2019,,55.95,,54.62,,,,,,,,,,
"May 21, 2019",21/05/2019,56.28,54.76,57.44,53.8,596.84K,3.04%,,,21/05/2019,,57.44,,56.28,,,,,,,,,,
"May 22, 2019",22/05/2019,55.3,55.88,56.28,55.09,505.58K,-1.74%,,,22/05/2019,,56.28,,55.3,,,,,,,,,,
