"Date","Price","Open","High","Low","Vol.","Change %"
"May 13, 2019","5.410","5.510","5.780","5.310","65.76K","-6.08%"
"May 10, 2019","5.760","5.670","5.810","5.550","122.25K","1.23%"
"May 09, 2019","5.690","5.850","5.970","5.650","53.46K","-3.40%"
"May 08, 2019","5.890","5.880","6.110","5.870","24.99K","0.51%"
"May 07, 2019","5.860","6.150","6.150","5.860","44.30K","-5.48%"
"May 06, 2019","6.200","6.020","6.250","5.880","100.34K","1.14%"
"May 03, 2019","6.130","5.860","6.200","5.810","91.44K","3.03%"
"May 02, 2019","5.950","6.080","6.110","5.810","37.76K","-2.78%"
"May 01, 2019","6.120","6.180","6.330","6.000","60.68K","-0.65%"
"Apr 30, 2019","6.160","6.380","6.380","6.080","67.22K","-3.30%"
"Apr 29, 2019","6.370","6.040","6.400","6.040","47.02K","5.64%"
"Apr 26, 2019","6.030","6.000","6.100","5.950","37.04K","0.84%"
"Apr 25, 2019","5.980","5.930","6.100","5.760","87.97K","2.22%"
"Apr 24, 2019","5.850","6.330","6.330","5.760","178.19K","-5.80%"
"Apr 23, 2019","6.210","6.200","6.300","5.910","32.70K","0.00%"
"Apr 22, 2019","6.210","6.340","6.340","5.870","129.15K","-0.64%"
"Apr 18, 2019","6.250","6.210","6.260","5.900","120.22K","0.48%"
"Apr 17, 2019","6.220","6.300","6.300","5.860","104.04K","0.32%"
"Apr 16, 2019","6.200","6.320","6.320","5.740","203.42K","-1.12%"
"Apr 15, 2019","6.270","6.740","6.960","6.220","112.56K","-6.56%"
"Apr 12, 2019","6.710","6.720","6.940","6.660","83.76K","0.75%"
"Apr 11, 2019","6.660","6.700","6.800","6.550","97.91K","-0.45%"
"Apr 10, 2019","6.690","7.000","7.140","6.460","190.28K","-3.32%"
"Apr 09, 2019","6.920","7.300","7.450","6.760","178.27K","-5.34%"
"Apr 08, 2019","7.310","6.940","7.510","6.720","445.81K","6.56%"
"Apr 05, 2019","6.860","6.350","6.900","6.170","124.89K","7.86%"
"Apr 04, 2019","6.360","6.320","6.430","6.130","89.94K","0.16%"
"Apr 03, 2019","6.350","6.860","6.960","6.040","314.65K","-6.89%"
"Apr 02, 2019","6.820","6.580","7.000","6.580","307.17K","4.28%"
"Apr 01, 2019","6.540","6.850","7.190","6.390","288.70K","1.24%"
"Mar 29, 2019","6.460","6.250","6.500","5.960","495.83K","5.38%"
"Mar 28, 2019","6.130","5.820","6.180","5.730","174.75K","9.46%"
"Mar 27, 2019","5.600","5.380","5.720","5.370","343.50K","8.32%"
"Mar 26, 2019","5.170","5.140","5.240","4.840","235.64K","0.00%"
"Mar 25, 2019","5.170","5.340","5.380","5.040","61.32K","-3.00%"
"Mar 22, 2019","5.330","5.460","5.540","5.250","172.13K","-3.09%"
"Mar 21, 2019","5.500","5.630","5.630","5.390","109.30K","-2.31%"
"Mar 20, 2019","5.630","5.860","5.890","5.540","110.61K","-4.58%"
"Mar 19, 2019","5.900","5.860","6.280","5.560","295.58K","1.20%"
"Mar 18, 2019","5.830","5.580","6.020","5.570","219.41K","3.92%"
"Mar 15, 2019","5.610","5.850","5.850","5.550","829.90K","-3.94%"
"Mar 14, 2019","5.840","5.960","6.170","5.720","154.06K","-1.85%"
"Mar 13, 2019","5.950","5.440","6.060","5.440","352.19K","9.78%"
"Mar 12, 2019","5.420","5.600","5.730","5.310","139.18K","-2.17%"
"Mar 11, 2019","5.540","5.500","5.700","5.500","104.88K","-2.29%"
"Mar 08, 2019","5.670","5.920","5.920","5.500","63.04K","-3.24%"
"Mar 07, 2019","5.860","5.870","6.090","5.640","57.34K","1.74%"
"Mar 06, 2019","5.760","6.000","6.090","5.510","126.42K","-4.00%"
"Mar 05, 2019","6.000","6.270","6.290","5.880","151.73K","-4.15%"
"Mar 04, 2019","6.260","6.140","6.330","6.010","123.13K","2.79%"
"Mar 01, 2019","6.090","6.280","6.350","6.000","70.59K","-2.25%"
"Feb 28, 2019","6.230","6.140","6.350","5.520","240.57K","1.63%"
"Feb 27, 2019","6.130","5.990","6.580","5.770","193.79K","2.34%"
"Feb 26, 2019","5.990","5.130","6.230","5.010","201.30K","16.76%"
"Feb 25, 2019","5.130","4.700","5.400","4.690","301.01K","8.23%"
"Feb 22, 2019","4.740","4.830","4.910","4.610","51.74K","-1.25%"
"Feb 21, 2019","4.800","4.840","4.970","4.730","44.44K","-0.21%"
"Feb 20, 2019","4.810","4.700","4.930","4.600","70.64K","3.89%"
